player_name,runs,matches,average,strike_rate
Shubman Gill,890,17,59.33,157.8
Faf du Plessis,730,14,56.15,153.68
Devon Conway,672,16,51.69,139.7
Virat Kohli,639,14,53.25,139.82
Yashasvi Jaiswal,625,14,48.08,163.61
Ruturaj Gaikwad,590,16,42.14,147.5
David Warner,516,14,36.86,131.63
Rinku Singh,474,14,59.25,149.52
Ishan Kishan,454,15,30.27,142.77
Heinrich Klaasen,448,12,49.78,177.07
Suryakumar Yadav,605,16,43.21,181.14
Sanju Samson,362,14,30.17,153.39
Rohit Sharma,332,16,20.75,120
KL Rahul,274,9,34.25,113.24
Hardik Pandya,346,16,24.71,136.76
