player_name,runs,matches,average,strike_rate,winner,win_by_runs,win_by_wickets,
Shubman Gill,890,17,59.33,157.8,2,2,2,
Faf du Plessis,730,14,56.15,153.68,4,4,4,
Devon Conway,672,16,51.69,139.7,5,5,5,
Virat Kohli,639,14,53.25,139.82,6,6,6,
Yashasvi Jaiswal,625,14,48.08,163.61,6,2,2,
Ruturaj Gaikwad,590,16,42.14,147.5,7,1,4,
David Warner,516,14,36.86,131.63,8,3,6,
Rinku Singh,474,14,59.25,149.52,3,4,4,
Ishan Kishan,454,15,30.27,142.77,5,34,12,
Heinrich Klaasen,448,12,49.78,177.07,6,76,12,
Suryakumar Yadav,605,16,43.21,181.14,4,34,3,
Sanju Samson,362,14,30.17,153.39,2,3,4,
Rohit Sharma,332,16,20.75,120,1,2,2,
KL Rahul,274,9,34.25,113.24,0,33,33,
Hardik Pandya,346,16,24.71,136.76,0,5,5,
